timeStep faceId meshDensityCounting-PID4 meshDensityCounting-PID7 meshDensityCounting-PID10 meshDensityCounting-PID13 meshDensityCounting-PID16
2 26 NA NA NA NA 0
2 27 NA NA NA NA 21
2 28 NA NA NA NA 2
2 29 NA NA NA NA 0
2 30 NA NA NA NA 22
2 31 NA NA NA NA 0
2 32 NA NA NA NA 18
2 33 NA NA NA NA 0
2 34 NA NA NA NA 24
2 35 NA NA NA NA 0
2 36 NA NA NA NA 22
2 37 NA NA NA NA 0
2 38 NA NA NA NA 0
2 39 NA NA NA NA 0
2 40 NA NA NA NA 0
2 41 NA NA NA NA 0
2 42 NA NA NA NA 0
2 43 NA NA NA NA 0
2 44 NA NA NA NA 0
2 45 NA NA NA NA 0
2 46 NA NA NA NA 0
2 47 NA NA NA NA 0
2 48 NA NA NA NA 0
2 49 NA NA NA NA 0
2 50 NA NA NA NA 0
2 51 NA NA NA NA 0
2 52 NA NA NA NA 0
2 53 NA NA NA NA 0
2 54 NA NA NA NA 0
2 55 NA NA NA NA 1
2 56 NA NA NA NA 17
2 57 NA NA NA NA 23
2 58 NA NA NA NA 26
2 59 NA NA NA NA 0
2 60 NA NA NA NA 21
2 61 NA NA NA NA 29
2 62 NA NA NA NA 25
2 63 NA NA NA NA 31
2 64 NA NA NA NA 30
2 65 NA NA NA NA 13
2 66 NA NA NA NA 26
2 67 NA NA NA NA 23
2 68 NA NA NA NA 28
2 69 NA NA NA NA 23
2 70 NA NA NA NA 33
2 71 NA NA NA NA 26
2 72 NA NA NA NA 20
2 73 NA NA NA NA 14
2 74 NA NA NA NA 19
2 75 NA NA NA NA 26
2 76 NA NA NA NA 24
2 77 NA NA NA NA 26
2 78 NA NA NA NA 9
2 79 NA NA NA NA 0
2 80 NA NA NA NA 13
3 1 14 16 0 0 2
3 2 8 10 0 0 24
3 3 15 11 0 0 0
3 4 11 9 0 0 20
3 5 12 12 0 0 31
3 6 11 9 0 0 24
3 7 11 8 0 0 0
3 8 4 8 0 0 23
3 9 14 14 0 0 29
3 10 12 13 0 0 15
3 11 7 11 0 0 22
3 12 10 10 0 0 25
3 13 6 9 0 0 18
3 14 9 10 0 0 2
3 15 9 14 0 0 1
3 16 4 9 0 0 0
3 17 10 9 0 0 14
3 18 12 18 0 0 0
3 19 NA NA NA NA 22
3 20 NA NA NA NA 0
3 21 NA NA NA NA 0
3 22 NA NA NA NA 0
3 23 NA NA NA NA 21
3 24 NA NA NA NA 23
3 25 NA NA NA NA 0
3 26 NA NA NA NA 0
3 27 NA NA NA NA 23
3 28 NA NA NA NA 5
3 29 NA NA NA NA 0
3 30 NA NA NA NA 21
3 31 NA NA NA NA 0
3 32 NA NA NA NA 22
3 33 NA NA NA NA 0
3 34 NA NA NA NA 24
3 35 NA NA NA NA 0
3 36 NA NA NA NA 22
3 37 NA NA NA NA 0
3 38 NA NA NA NA 0
3 39 NA NA NA NA 0
3 40 NA NA NA NA 0
3 41 NA NA NA NA 0
3 42 NA NA NA NA 0
3 43 NA NA NA NA 0
3 44 NA NA NA NA 0
3 45 NA NA NA NA 0
3 46 NA NA NA NA 0
3 47 NA NA NA NA 0
3 48 NA NA NA NA 0
3 49 NA NA NA NA 0
3 50 NA NA NA NA 0
3 51 NA NA NA NA 0
3 52 NA NA NA NA 0
3 53 NA NA NA NA 0
3 54 NA NA NA NA 0
3 55 NA NA NA NA 3
3 56 NA NA NA NA 19
3 57 NA NA NA NA 21
3 58 NA NA NA NA 27
3 59 NA NA NA NA 0
3 60 NA NA NA NA 24
3 61 NA NA NA NA 26
3 62 NA NA NA NA 24
3 63 NA NA NA NA 30
3 64 NA NA NA NA 34
3 65 NA NA NA NA 14
3 66 NA NA NA NA 25
3 67 NA NA NA NA 18
3 68 NA NA NA NA 29
3 69 NA NA NA NA 20
3 70 NA NA NA NA 36
3 71 NA NA NA NA 28
3 72 NA NA NA NA 22
3 73 NA NA NA NA 9
3 74 NA NA NA NA 19
3 75 NA NA NA NA 24
3 76 NA NA NA NA 26
3 77 NA NA NA NA 24
3 78 NA NA NA NA 13
3 79 NA NA NA NA 0
3 80 NA NA NA NA 12
4 1 12 15 0 0 4
4 2 10 10 0 0 26
4 3 12 14 0 0 0
4 4 11 11 0 0 24
4 5 13 11 0 0 30
4 6 9 9 0 0 25
4 7 10 9 0 0 0
4 8 4 9 0 0 24
4 9 16 15 0 0 27
4 10 14 13 0 0 17
4 11 6 13 0 0 27
4 12 9 13 0 0 25
4 13 6 12 0 0 22
4 14 11 10 0 0 2
4 15 7 13 0 0 0
4 16 5 10 0 0 0
4 17 13 11 0 0 16
4 18 12 17 0 0 0
4 19 NA NA NA NA 22
4 20 NA NA NA NA 0
4 21 NA NA NA NA 0
4 22 NA NA NA NA 0
4 23 NA NA NA NA 28
4 24 NA NA NA NA 28
4 25 NA NA NA NA 0
4 26 NA NA NA NA 0
4 27 NA NA NA NA 21
4 28 NA NA NA NA 9
4 29 NA NA NA NA 0
4 30 NA NA NA NA 21
4 31 NA NA NA NA 0
4 32 NA NA NA NA 21
4 33 NA NA NA NA 0
4 34 NA NA NA NA 22
4 35 NA NA NA NA 0
4 36 NA NA NA NA 28
4 37 NA NA NA NA 0
4 38 NA NA NA NA 0
4 39 NA NA NA NA 0
4 40 NA NA NA NA 0
4 41 NA NA NA NA 0
4 42 NA NA NA NA 0
4 43 NA NA NA NA 0
4 44 NA NA NA NA 0
4 45 NA NA NA NA 0
4 46 NA NA NA NA 0
4 47 NA NA NA NA 0
4 48 NA NA NA NA 0
4 49 NA NA NA NA 0
4 50 NA NA NA NA 0
4 51 NA NA NA NA 0
4 52 NA NA NA NA 0
4 53 NA NA NA NA 0
4 54 NA NA NA NA 0
4 55 NA NA NA NA 3
4 56 NA NA NA NA 21
4 57 NA NA NA NA 20
4 58 NA NA NA NA 26
4 59 NA NA NA NA 0
4 60 NA NA NA NA 27
4 61 NA NA NA NA 26
4 62 NA NA NA NA 25
4 63 NA NA NA NA 26
4 64 NA NA NA NA 34
4 65 NA NA NA NA 15
4 66 NA NA NA NA 22
4 67 NA NA NA NA 22
4 68 NA NA NA NA 26
4 69 NA NA NA NA 20
4 70 NA NA NA NA 32
4 71 NA NA NA NA 29
4 72 NA NA NA NA 23
4 73 NA NA NA NA 10
4 74 NA NA NA NA 20
4 75 NA NA NA NA 24
4 76 NA NA NA NA 27
4 77 NA NA NA NA 25
4 78 NA NA NA NA 13
4 79 NA NA NA NA 2
4 80 NA NA NA NA 13
5 1 12 16 0 0 6
5 2 11 10 0 0 27
5 3 13 12 0 0 0
5 4 12 11 0 0 25
5 5 10 10 0 0 29
5 6 12 11 0 0 25
5 7 9 9 0 0 0
5 8 5 11 0 0 24
5 9 15 15 0 0 28
5 10 11 13 0 0 21
5 11 4 12 0 0 26
5 12 12 12 0 0 27
5 13 6 10 0 0 25
5 14 10 14 0 0 3
5 15 6 13 0 0 2
5 16 3 9 0 0 0
5 17 11 9 0 0 18
5 18 13 18 0 0 0
5 19 NA NA NA NA 21
5 20 NA NA NA NA 0
5 21 NA NA NA NA 0
5 22 NA NA NA NA 0
5 23 NA NA NA NA 25
5 24 NA NA NA NA 25
5 25 NA NA NA NA 0
5 26 NA NA NA NA 0
5 27 NA NA NA NA 21
